 x, y
 0,11003.611100, 42102.500000
 1,11108.611100, 42373.888900
 2,11133.333300, 42885.833300
 3,11155.833300, 42712.500000
 4,11183.333300, 42933.333300
 5,11297.500000, 42853.333300
 6,11310.277800, 42929.444400
 7,11416.666700, 42983.333300
 8,11423.888900, 43000.277800
 9,11438.333300, 42057.222200
 10,11461.111100, 43252.777800
 11,11485.555600, 43187.222200
 12,11503.055600, 42855.277800
 13,11511.388900, 42106.388900
 14,11522.222200, 42841.944400
 15,11569.444400, 43136.666700
 16,11583.333300, 43150.000000
 17,11595.000000, 43148.055600
 18,11600.000000, 43150.000000
 19,11690.555600, 42686.666700
 20,11715.833300, 41836.111100
 21,11751.111100, 42814.444400
 22,11770.277800, 42651.944400
 23,11785.277800, 42884.444400
 24,11822.777800, 42673.611100
 25,11846.944400, 42660.555600
 26,11963.055600, 43290.555600
 27,11973.055600, 43026.111100
 28,12058.333300, 42195.555600
 29,12149.444400, 42477.500000
 30,12286.944400, 43355.555600
 31,12300.000000, 42433.333300
 32,12355.833300, 43156.388900
 33,12363.333300, 43189.166700
 34,12372.777800, 42711.388900
 35,12386.666700, 43334.722200
 36,12421.666700, 42895.555600
 37,12645.000000, 42973.333300
